National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1962,1901,1901,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1963,1944,1944,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1964,2083,2083,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1965,2211,2211,0,0,0,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1966,2377,2375,2,0,2,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1967,2527,2522,5,0,5,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1968,2677,2671,6,0,6,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1969,2967,2960,7,0,7,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1970,3325,3316,9,0,9,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1971,3470,3460,10,0,10,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1972,3672,3659,13,0,13,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1973,3983,3968,15,0,15,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1974,4491,4470,21,0,21,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1975,4949,4921,28,0,28,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1976,5433,5399,34,0,34,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1977,6083,6039,44,0,44,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1978,7137,7078,59,0,59,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1979,8450,8376,74,0,74,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1980,9801,9703,98,0,98,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1981,11296,11166,130,0,130,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1982,12581,12413,168,0,168,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1983,13755,13536,219,0,219,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1984,14976,14722,254,0,254,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1985,15955,15668,287,0,287,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1986,17063,16734,329,0,329,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1987,18265,17885,380,0,380,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1988,19376,18958,418,0,418,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1989,20819,20343,476,0,476,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1990,22446,21889,557,0,557,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1991,23247,22505,742,0,742,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1992,23213,22348,865,0,865,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1993,23742,22783,959,0,959,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1994,24310,23290,1020,0,1020,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1995,25100,23893,1207,0,1207,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1996,26004,24777,1227,0,1227,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1997,27581,26248,1333,0,1333,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1998,28574,27224,1350,0,1350,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y1999,30624,29296,1327,0,1327,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2000,31568,30134,1434,0,1434,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2001,32250,30669,1581,0,1581,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2002,33292,31614,1678,0,1678,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2003,36199,34338,1861,0,1861,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2004,38088,36063,2025,0,2025,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2005,40805,38663,2142,0,2142,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2006,43733,41436,2297,0,2297,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2007,47752,45212,2540,0,2540,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2008,49472,46754,2718,0,2718,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2009,50328,47532,2796,0,2796,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2010,51246,48235,3011,0,3011,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2011,52825,49695,3128,0,3128,0,0,1
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2012,53733,50458,3273,0,3273,0,0,2
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2013,55672,52955,2715,0,2715,0,0,2
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2014,56995,54712,2284,0,2284,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2015,59590,57313,2277,0,2277,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Historical,Y2016,62201,60151,2050,0,2050,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2017," 65,086 ",63142,1944,0,1944,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2018,67957,65887,2069,0,2069,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2019,71321,68979,2342,0,2342,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2020,74928,72392,2536,0,2536,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2021,78800,76063,2737,0,2737,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2022,83073,80133,2940,0,2940,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2023,87628,84473,3155,0,3155,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2024,92367,88984,3382,0,3382,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2025,97123,93517,3606,0,3606,0,0,0
Non-Durable Medical Products Expenditures,02/14/2018,Projected,Y2026,101653,97711,3943,0,3943,0,0,0
Prescription Drug Expenditures,02/14/2018,Historical,Y1960,2676,2570,39,35,0,0,4,67
Prescription Drug Expenditures,02/14/2018,Historical,Y1961,2718,2595,42,38,0,0,4,81
Prescription Drug Expenditures,02/14/2018,Historical,Y1962,3029,2889,46,42,0,0,4,94
Prescription Drug Expenditures,02/14/2018,Historical,Y1963,3159,3005,47,43,0,0,4,107
Prescription Drug Expenditures,02/14/2018,Historical,Y1964,3347,3138,85,82,0,0,4,124
Prescription Drug Expenditures,02/14/2018,Historical,Y1965,3715,3441,133,130,0,0,3,140
Prescription Drug Expenditures,02/14/2018,Historical,Y1966,3985,3594,288,182,0,103,3,104
Prescription Drug Expenditures,02/14/2018,Historical,Y1967,4227,3712,445,238,0,205,3,69
Prescription Drug Expenditures,02/14/2018,Historical,Y1968,4742,4120,540,317,0,219,4,82
Prescription Drug Expenditures,02/14/2018,Historical,Y1969,5149,4362,703,399,0,300,5,83
Prescription Drug Expenditures,02/14/2018,Historical,Y1970,5497,4531,907,484,0,417,6,59
Prescription Drug Expenditures,02/14/2018,Historical,Y1971,5877,4752,1061,558,0,495,8,65
Prescription Drug Expenditures,02/14/2018,Historical,Y1972,6324,5035,1217,643,0,563,10,73
Prescription Drug Expenditures,02/14/2018,Historical,Y1973,6817,5341,1396,742,0,644,11,80
Prescription Drug Expenditures,02/14/2018,Historical,Y1974,7422,5724,1608,855,0,739,13,90
Prescription Drug Expenditures,02/14/2018,Historical,Y1975,8052,6093,1856,967,0,871,18,104
Prescription Drug Expenditures,02/14/2018,Historical,Y1976,8722,6519,2087,1097,0,969,21,115
Prescription Drug Expenditures,02/14/2018,Historical,Y1977,9196,6813,2261,1202,0,1036,22,122
Prescription Drug Expenditures,02/14/2018,Historical,Y1978,9891,7200,2563,1433,0,1107,23,128
Prescription Drug Expenditures,02/14/2018,Historical,Y1979,10744,7575,2991,1731,0,1236,24,179
Prescription Drug Expenditures,02/14/2018,Historical,Y1980,12049,8592,3242,1810,0,1408,24,215
Prescription Drug Expenditures,02/14/2018,Historical,Y1981,13398,8983,4170,2534,0,1611,26,245
Prescription Drug Expenditures,02/14/2018,Historical,Y1982,15029,10440,4312,2610,0,1669,32,277
Prescription Drug Expenditures,02/14/2018,Historical,Y1983,17323,11446,5556,3614,0,1907,34,321
Prescription Drug Expenditures,02/14/2018,Historical,Y1984,19617,12731,6504,4244,2,2219,39,382
Prescription Drug Expenditures,02/14/2018,Historical,Y1985,21795,13855,7443,5047,21,2332,44,497
Prescription Drug Expenditures,02/14/2018,Historical,Y1986,24290,15744,7914,4836,44,2986,48,633
Prescription Drug Expenditures,02/14/2018,Historical,Y1987,26888,16692,9482,5957,75,3396,54,715
Prescription Drug Expenditures,02/14/2018,Historical,Y1988,30646,18694,11110,7126,102,3814,67,842
Prescription Drug Expenditures,02/14/2018,Historical,Y1989,34757,20581,13159,8862,139,4083,75,1017
Prescription Drug Expenditures,02/14/2018,Historical,Y1990,40290,22867,16217,10860,185,5077,94,1206
Prescription Drug Expenditures,02/14/2018,Historical,Y1991,44381,23553,19595,13212,231,6043,108,1233
Prescription Drug Expenditures,02/14/2018,Historical,Y1992,46972,23661,22056,14755,293,6883,125,1256
Prescription Drug Expenditures,02/14/2018,Historical,Y1993,49551,23835,24481,16230,372,7721,158,1235
Prescription Drug Expenditures,02/14/2018,Historical,Y1994,53019,23176,28539,19209,496,8627,206,1304
Prescription Drug Expenditures,02/14/2018,Historical,Y1995,59766,23201,35202,24481,722,9700,299,1364
Prescription Drug Expenditures,02/14/2018,Historical,Y1996,68084,24241,42431,30114,1011,10824,482,1412
Prescription Drug Expenditures,02/14/2018,Historical,Y1997,77636,25709,50408,36210,1259,12222,717,1519
Prescription Drug Expenditures,02/14/2018,Historical,Y1998,88496,27519,59252,42647,1561,14031,1013,1725
Prescription Drug Expenditures,02/14/2018,Historical,Y1999,104564,30481,72150,52073,1919,16647,1510,1933
Prescription Drug Expenditures,02/14/2018,Historical,Y2000,121028,33648,85091,61108,2096,19771,2117,2289
Prescription Drug Expenditures,02/14/2018,Historical,Y2001,139000,36350,99920,71157,2448,23375,2940,2729
Prescription Drug Expenditures,02/14/2018,Historical,Y2002,157915,40807,113998,79753,2473,27520,4251,3111
Prescription Drug Expenditures,02/14/2018,Historical,Y2003,176659,45466,127614,87009,2470,32233,5901,3579
Prescription Drug Expenditures,02/14/2018,Historical,Y2004,192827,48144,141006,95104,3372,35844,6686,3678
Prescription Drug Expenditures,02/14/2018,Historical,Y2005,205156,51323,149969,102122,3931,36530,7386,3863
Prescription Drug Expenditures,02/14/2018,Historical,Y2006,224109,51213,168894,101990,39638,19109,8156,4002
Prescription Drug Expenditures,02/14/2018,Historical,Y2007,235678,52158,179795,106907,45954,18334,8599,3724
Prescription Drug Expenditures,02/14/2018,Historical,Y2008,241490,49615,188275,109750,50644,19226,8656,3601
Prescription Drug Expenditures,02/14/2018,Historical,Y2009,252748,49072,200215,116189,54542,20340,9143,3461
Prescription Drug Expenditures,02/14/2018,Historical,Y2010,253080,45218,204509,116057,58944,20412,9096,3353
Prescription Drug Expenditures,02/14/2018,Historical,Y2011,258771,45234,210709,117014,63349,20953,9394,2828
Prescription Drug Expenditures,02/14/2018,Historical,Y2012,259193,45077,211569,112916,67554,21591,9508,2547
Prescription Drug Expenditures,02/14/2018,Historical,Y2013,265202,43544,219270,113605,74063,22434,9168,2388
Prescription Drug Expenditures,02/14/2018,Historical,Y2014,297986,44773,251208,128122,84897,27955,10234,2006
Prescription Drug Expenditures,02/14/2018,Historical,Y2015,324522,45468,277112,141490,92787,31694,11142,1942
Prescription Drug Expenditures,02/14/2018,Historical,Y2016,328588,45032,281682,142617,95393,33445,10226,1873
Prescription Drug Expenditures,02/14/2018,Projected,Y2017," 338,073 ",44586,291547,144349,101286,35282,10630,1941
Prescription Drug Expenditures,02/14/2018,Projected,Y2018,360233,45862,312307,153145,110196,37930,11036,2064
Prescription Drug Expenditures,02/14/2018,Projected,Y2019,380454,47708,330495,158644,119875,40505,11470,2251
Prescription Drug Expenditures,02/14/2018,Projected,Y2020,404351,50149,351776,167000,129830,43145,11802,2425
Prescription Drug Expenditures,02/14/2018,Projected,Y2021,432186,53091,376488,177919,140289,46104,12176,2607
Prescription Drug Expenditures,02/14/2018,Projected,Y2022,462543,56705,403043,189424,151702,49254,12662,2796
Prescription Drug Expenditures,02/14/2018,Projected,Y2023,495146,60310,431840,202346,163786,52580,13129,2996
Prescription Drug Expenditures,02/14/2018,Projected,Y2024,530091,64244,462639,216400,176531,56096,13612,3209
Prescription Drug Expenditures,02/14/2018,Projected,Y2025,565231,68463,493333,231160,188226,59838,14110,3435
Prescription Drug Expenditures,02/14/2018,Projected,Y2026,604839,73105,528058,247156,202542,63736,14623,3677
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1960,740,686,40,40,0,0,0,15
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1961,765,707,40,40,0,0,0,17
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1962,910,843,49,49,0,0,0,18
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1963,901,833,50,50,0,0,0,19
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1964,1004,928,55,55,0,0,0,20
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1965,1105,1021,62,62,0,0,0,22
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1966,1242,1130,85,75,6,5,0,27
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1967,1128,990,108,82,16,9,0,31
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1968,1317,1149,130,91,21,18,0,37
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1969,1512,1299,169,113,25,32,0,44
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1970,1747,1503,197,133,28,35,0,48
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1971,1799,1532,213,151,35,27,0,54
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1972,2032,1721,254,186,42,26,0,57
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1973,2247,1889,297,210,51,36,0,61
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1974,2506,2062,374,252,71,51,0,71
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1975,2801,2259,464,306,94,65,0,77
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1976,2987,2390,516,334,115,68,0,80
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1977,3205,2507,612,397,148,66,0,86
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1978,3447,2629,724,459,198,67,0,93
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1979,3781,2794,885,553,247,86,0,102
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1980,4054,2964,984,568,326,90,0,105
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1981,4330,3087,1137,572,447,118,0,106
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1982,4570,3159,1300,566,573,160,0,111
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1983,5250,3576,1547,619,748,181,0,127
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1984,6142,4236,1758,708,865,185,0,148
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1985,7056,4901,1980,790,973,217,0,175
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1986,8067,5626,2236,873,1106,256,0,205
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1987,9466,6654,2573,1002,1268,303,0,239
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1988,11078,7834,2966,1226,1380,360,0,279
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1989,11887,8184,3383,1343,1556,484,0,320
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1990,13767,9494,3906,1523,1801,583,0,367
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1991,13081,8579,4143,1391,2031,721,0,360
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1992,13498,8543,4590,1357,2344,889,0,365
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1993,14140,8669,5108,1449,2597,1062,0,363
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1994,15318,9266,5688,1644,2769,1276,0,364
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1995,15860,9081,6426,1731,3169,1526,0,354
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1996,17432,10029,7036,1970,3411,1655,0,368
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1997,19218,11110,7712,2261,3836,1615,0,396
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1998,21358,12948,7975,2766,3644,1560,4,435
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y1999,23022,13980,8565,3168,3750,1616,30,476
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2000,25165,15094,9562,3620,4065,1835,43,509
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2001,25135,14066,10554,3564,4479,2467,44,515
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2002,27131,14638,11966,3911,5273,2709,73,527
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2003,28512,14934,13053,4201,6021,2767,64,526
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2004,30370,15935,13897,4713,6231,2896,58,538
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2005,32364,16815,15017,5221,6435,3295,65,532
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2006,34409,17487,16403,5694,6886,3761,62,519
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2007,37073,18938,17578,6460,7017,4015,86,557
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2008,37678,18198,18674,6496,7892,4202,85,805
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2009,37813,18055,18957,6814,7488,4579,76,801
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2010,39925,19517,19578,7069,7506,4916,88,830
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2011,42259,21276,20120,7388,7531,5097,104,864
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2012,43679,21983,20858,7313,8080,5345,119,839
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2013,45062,22951,21251,7611,7790,5717,133,860
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2014,46678,22878,22935,8488,7778,6545,124,865
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2015,48573,23234,24483,9074,7961,7312,136,856
Durable Medical Equipment Expenditures,02/14/2018,Historical,Y2016,50952,24848,25236,9932,7476,7653,174,869
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2017," 52,947 ",25936,26115,10419,7511,7995,189,897
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2018,55688,26887,27868,10916,8023,8730,201,933
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2019,58826,27838,30010,11448,8961,9389,212,978
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2020,62365,29151,32187,12127,9682,10159,219,1027
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2021,66374,30683,34609,12944,10470,10969,226,1083
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2022,70685,32324,37222,13865,11313,11808,236,1140
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2023,75123,33990,39935,14804,12203,12680,248,1197
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2024,79657,35608,42794,15773,13156,13604,261,1256
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2025,84149,37177,45656,16751,14045,14587,274,1316
Durable Medical Equipment Expenditures,02/14/2018,Projected,Y2026,89105,38695,49032,17743,15394,15608,288,1377
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1960,811,603,0,0,0,0,0,207
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1961,841,576,0,0,0,0,0,264
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1962,876,524,0,0,0,0,0,351
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1963,1009,589,0,0,0,0,0,420
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1964,1168,662,0,0,0,0,0,506
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1965,1408,787,9,1,0,0,7,613
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1966,1732,1041,225,2,0,204,19,467
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1967,2234,1048,852,3,190,628,31,334
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1968,2851,1467,990,5,244,706,36,394
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1969,3411,1778,1038,7,216,771,44,595
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1970,4034,1984,1151,9,143,940,59,898
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1971,4551,2121,1583,12,121,1367,84,847
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1972,5227,2476,2336,17,120,2099,100,416
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1973,5974,2846,2648,23,165,2338,122,481
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1974,6928,2866,3520,28,200,3149,142,542
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1975,8022,3171,4244,38,220,3810,176,607
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1976,9057,3708,4669,54,260,4129,227,680
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1977,10259,4307,5216,74,267,4646,228,737
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1978,11845,4902,6079,103,268,5421,287,864
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1979,13344,5315,7056,136,283,6327,310,973
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1980,15270,6191,7918,192,307,7055,364,1161
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1981,17336,6861,9147,260,337,8138,412,1328
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1982,19478,8094,9791,374,367,8567,483,1593
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1983,21676,9154,10668,517,392,9204,554,1854
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1984,23713,9831,11814,682,423,10053,656,2068
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1985,26199,10998,12811,938,454,10695,724,2390
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1986,28642,11914,14053,1246,458,11538,811,2675
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1987,30646,12169,15599,1570,499,12656,874,2879
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1988,34225,13976,16802,1929,732,13223,918,3446
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1989,38553,14848,19834,2176,2503,14229,926,3872
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1990,44745,18010,21913,2783,1700,16433,997,4823
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1991,49212,18347,25608,2970,1962,19563,1114,5257
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1992,52848,18477,28686,3114,2888,21480,1204,5685
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1993,55797,18376,31360,3213,3963,22838,1346,6062
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1994,58385,17653,35206,4085,5603,24038,1481,5526
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1995,64185,19576,38218,5482,6690,24516,1531,6392
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1996,69235,19320,43449,6383,9475,25978,1613,6467
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1997,74088,20642,46359,6705,11234,26803,1616,7088
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1998,79106,24923,47789,7367,11401,27334,1688,6393
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y1999,80605,25967,48089,7720,9460,29129,1780,6549
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2000,85045,27127,52044,7454,10822,31882,1886,5874
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2001,90778,27583,57690,7727,13338,34572,2054,5505
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2002,94500,27900,60949,8168,15026,35561,2194,5652
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2003,100105,30268,63631,7447,15773,37872,2539,6206
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2004,105086,31180,67430,6745,18260,39760,2665,6476
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2005,111436,32506,71796,7139,20537,41341,2779,7133
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2006,115929,33580,74727,7989,22358,41563,2817,7622
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2007,124936,36457,79189,8719,24839,42341,3290,9290
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2008,130458,37451,84603,9309,27606,44039,3650,8403
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2009,135212,37002,89409,9877,30141,45483,3907,8802
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2010,140488,37504,93373,10726,32289,46307,4052,9611
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2011,145364,37150,98669,10969,35763,47622,4314,9545
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2012,147370,39154,97682,11583,33998,47700,4402,10534
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2013,149039,39347,98983,11672,34734,48076,4501,10709
